Time,LT,Pump_1 [L/m],Pump_2 [L/m],Voltage [V],Current [A],Input_current [A],E_h2_production [mL/0.1s],Power,Pref
04:51.5,0,0,1.7,11.5,26.2,25.5,0.86,301.3,293.25
04:51.6,0,0,1.7,11.5,26.2,25.5,0.86,301.3,293.25
04:51.7,0,0,1.7,11.49,26.2,25.5,0.86,301.038,292.995
04:51.8,0,0,1.7,11.49,26.2,25.5,0.86,301.038,292.995
04:51.9,0,0,1.7,11.5,26.1,25.5,0.85,300.15,293.25
04:52.0,0,0,1.7,11.5,26.2,25.5,0.86,301.3,293.25
04:52.1,0,0,1.7,11.5,26.1,25.4,0.85,300.15,292.1
04:52.2,0,0,1.7,11.52,26.1,25.4,0.85,300.672,292.608
04:52.3,0,0,1.7,11.5,26.2,25.4,0.86,301.3,292.1
04:52.4,0,0,1.7,11.5,26.2,25.4,0.86,301.3,292.1
04:52.5,0,0,1.7,11.5,26.2,25.4,0.86,301.3,292.1
04:52.6,0,0,1.7,11.52,26.1,25.4,0.85,300.672,292.608
04:52.7,0,0,1.7,11.5,26.1,25.4,0.85,300.15,292.1
04:52.8,0,0,1.7,11.52,26.1,25.4,0.85,300.672,292.608
04:52.9,0,0,1.7,11.52,26.1,25.4,0.85,300.672,292.608
04:53.0,0,0,1.7,11.52,26.1,25.4,0.85,300.672,292.608
04:53.1,0,0,1.7,11.52,26.1,25.4,0.85,300.672,292.608
04:53.2,0,0,1.7,11.52,26.1,25.4,0.85,300.672,292.608
04:53.3,0,0,1.7,11.52,26.1,25.4,0.85,300.672,292.608
04:53.4,0,0,1.7,11.52,26.1,25.4,0.85,300.672,292.608
04:53.5,0,0,1.7,11.52,26.1,25.4,0.85,300.672,292.608
04:53.6,0,0,1.7,11.53,26.2,25.4,0.86,302.086,292.862
04:53.7,0,0,1.7,11.53,26.1,25.4,0.85,300.933,292.862
04:53.8,0,0,1.7,11.53,26.1,25.4,0.85,300.933,292.862
04:53.9,0,0,1.7,11.53,26.1,25.4,0.85,300.933,292.862
04:54.0,0,0,1.7,11.53,26.1,25.4,0.85,300.933,292.862
04:54.1,0,0,1.7,11.55,26.2,25.5,0.86,302.61,294.525
04:54.2,0,0,1.7,11.53,26.2,25.5,0.86,302.086,294.015
04:54.3,0,0,1.7,11.53,26.2,25.5,0.86,302.086,294.015
04:54.4,0,0,1.7,11.57,26.4,25.5,0.86,305.448,295.035
04:54.5,0,0,1.7,11.57,26.2,25.5,0.86,303.134,295.035
04:54.6,0,0,1.7,11.57,26.2,25.5,0.86,303.134,295.035
04:54.7,0,0,1.7,11.55,26.2,25.5,0.86,302.61,294.525
04:54.8,0,0,1.7,11.55,26.4,25.5,0.86,304.92,294.525
04:54.9,0,0,1.7,11.55,26.4,25.5,0.86,304.92,294.525
04:55.0,0,0,1.7,11.57,26.2,25.5,0.86,303.134,295.035
04:55.1,0,0,1.7,11.57,26.2,25.5,0.86,303.134,295.035
04:55.2,0,0,1.7,11.57,26.2,25.5,0.86,303.134,295.035
04:55.3,0,0,1.7,11.57,26.2,25.5,0.86,303.134,295.035
04:55.4,0,0,1.7,11.57,26.2,25.5,0.86,303.134,295.035
04:55.5,0,0,1.7,11.57,26.2,25.5,0.86,303.134,295.035
04:55.6,0,0,1.7,11.57,26.2,25.5,0.86,303.134,295.035
04:55.7,0,0,1.7,11.57,26.2,25.5,0.86,303.134,295.035
04:55.8,0,0,1.7,11.57,26.2,25.5,0.86,303.134,295.035
04:55.9,0,0,1.7,11.58,26.4,25.5,0.86,305.712,295.29
04:56.0,0,0,1.7,11.57,26.4,25.5,0.86,305.448,295.035
04:56.1,0,0,1.7,11.57,26.2,25.4,0.86,303.134,293.878
04:56.2,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:56.3,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:56.4,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:56.5,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:56.6,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:56.7,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:56.8,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:56.9,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:57.0,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:57.1,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:57.2,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:57.3,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:57.4,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:57.5,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:57.6,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:57.7,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:57.8,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
04:57.9,0,0,1.7,11.57,26.2,25.4,0.86,303.134,293.878
04:58.0,0,0,1.7,11.57,26.1,25.6,0.85,301.977,296.192
04:58.1,0,0,1.7,11.58,26.4,25.6,0.86,305.712,296.448
04:58.2,0,0,1.7,11.59,26.5,25.6,0.86,307.135,296.704
04:58.3,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
04:58.4,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
04:58.5,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
04:58.6,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
04:58.7,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
04:58.8,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
04:58.9,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
04:59.0,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
04:59.1,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
04:59.2,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
04:59.3,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
04:59.4,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
04:59.5,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
04:59.6,0,0,1.7,11.59,26.4,25.6,0.86,305.976,296.704
04:59.7,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
04:59.8,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
04:59.9,0,0,1.7,11.62,26.5,25.6,0.86,307.93,297.472
05:00.0,0,0,1.7,11.62,26.4,25.6,0.86,306.768,297.472
05:00.1,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:00.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:00.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:00.4,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:00.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:00.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:00.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:00.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:00.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:01.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:01.1,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:01.2,0,0,1.7,11.57,26.1,25.4,0.85,301.977,293.878
05:01.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:01.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:01.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:01.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:01.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:01.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:01.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:02.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:02.1,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:02.2,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:02.3,0,0,1.7,11.57,25.9,25.2,0.85,299.663,291.564
05:02.4,0,0,1.7,11.55,25.9,25.2,0.85,299.145,291.06
05:02.5,0,0,1.7,11.55,26,25.2,0.85,300.3,291.06
05:02.6,0,0,1.7,11.57,25.9,25.2,0.85,299.663,291.564
05:02.7,0,0,1.7,11.55,25.9,25.2,0.85,299.145,291.06
05:02.8,0,0,1.7,11.55,26,25.2,0.85,300.3,291.06
05:02.9,0,0,1.7,11.55,25.9,25.2,0.85,299.145,291.06
05:03.0,0,0,1.7,11.57,25.9,25.2,0.85,299.663,291.564
05:03.1,0,0,1.7,11.55,25.9,25.2,0.85,299.145,291.06
05:03.2,0,0,1.7,11.55,26,25.2,0.85,300.3,291.06
05:03.3,0,0,1.7,11.55,25.9,25.2,0.85,299.145,291.06
05:03.4,0,0,1.7,11.57,25.9,25.2,0.85,299.663,291.564
05:03.5,0,0,1.7,11.57,25.9,25.2,0.85,299.663,291.564
05:03.6,0,0,1.7,11.55,25.9,25.2,0.85,299.145,291.06
05:03.7,0,0,1.7,11.55,26,25.2,0.85,300.3,291.06
05:03.8,0,0,1.7,11.57,25.9,25.2,0.85,299.663,291.564
05:03.9,0,0,1.7,11.55,25.9,25.2,0.85,299.145,291.06
05:04.0,0,0,1.7,11.55,26,25.2,0.85,300.3,291.06
05:04.1,0,0,1.7,11.57,26,25.4,0.85,300.82,293.878
05:04.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:04.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:04.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:04.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:04.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:04.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:04.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:04.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:05.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:05.1,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:05.2,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:05.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:05.4,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:05.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:05.6,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:05.7,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:05.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:05.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:06.0,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:06.1,0,0,1.7,11.58,26.1,25.2,0.85,302.238,291.816
05:06.2,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:06.3,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:06.4,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:06.5,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:06.6,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:06.7,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:06.8,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:06.9,0,0,1.7,11.58,25.9,25.2,0.85,299.922,291.816
05:07.0,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:07.1,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:07.2,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:07.3,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:07.4,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:07.5,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:07.6,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:07.7,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:07.8,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:07.9,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:08.0,0,0,1.7,11.57,25.9,25.2,0.85,299.663,291.564
05:08.1,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:08.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:08.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:08.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:08.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:08.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:08.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:08.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:08.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:09.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:09.1,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:09.2,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:09.3,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:09.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:09.5,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:09.6,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:09.7,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:09.8,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:09.9,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:10.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:10.1,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:10.2,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:10.3,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:10.4,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:10.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:10.6,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:10.7,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:10.8,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:10.9,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:11.0,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:11.1,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:11.2,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:11.3,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:11.4,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:11.5,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:11.6,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:11.7,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:11.8,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:11.9,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:12.0,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:12.1,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:12.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:12.3,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:12.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:12.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:12.6,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:12.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:12.8,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:12.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:13.0,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:13.1,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:13.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:13.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:13.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:13.5,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:13.6,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:13.7,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:13.8,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:13.9,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:14.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:14.1,0,0,1.7,11.58,26,25.2,0.85,301.08,291.816
05:14.2,0,0,1.7,11.58,26,25.2,0.85,301.08,291.816
05:14.3,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:14.4,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:14.5,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:14.6,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:14.7,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:14.8,0,0,1.7,11.58,26,25.2,0.85,301.08,291.816
05:14.9,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:15.0,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:15.1,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:15.2,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:15.3,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:15.4,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:15.5,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:15.6,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:15.7,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:15.8,0,0,1.7,11.58,26,25.2,0.85,301.08,291.816
05:15.9,0,0,1.7,11.57,26,25.2,0.85,300.82,291.564
05:16.0,0,0,1.7,11.58,26,25.2,0.85,301.08,291.816
05:16.1,0,0,1.7,11.58,26,25.4,0.85,301.08,294.132
05:16.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:16.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:16.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:16.5,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:16.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:16.7,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:16.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:16.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:17.0,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:17.1,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:17.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:17.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:17.4,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:17.5,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:17.6,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:17.7,0,0,1.7,11.58,26.2,25.4,0.86,303.396,294.132
05:17.8,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:17.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:18.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:18.1,0,0,1.7,11.59,26.1,25.5,0.85,302.499,295.545
05:18.2,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:18.3,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:18.4,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:18.5,0,0,1.7,11.59,26.4,25.5,0.86,305.976,295.545
05:18.6,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:18.7,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:18.8,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:18.9,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:19.0,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:19.1,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:19.2,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:19.3,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:19.4,0,0,1.7,11.62,26.2,25.5,0.86,304.444,296.31
05:19.5,0,0,1.7,11.62,26.4,25.5,0.86,306.768,296.31
05:19.6,0,0,1.7,11.59,26.4,25.5,0.86,305.976,295.545
05:19.7,0,0,1.7,11.59,26.2,25.5,0.86,303.658,295.545
05:19.8,0,0,1.7,11.62,26.2,25.5,0.86,304.444,296.31
05:19.9,0,0,1.7,11.62,26.2,25.5,0.86,304.444,296.31
05:20.0,0,0,1.7,11.62,26.2,25.5,0.86,304.444,296.31
05:20.1,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:20.2,0,0,1.7,11.59,26.2,25.4,0.86,303.658,294.386
05:20.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:20.4,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:20.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:20.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:20.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:20.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:20.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:21.0,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:21.1,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:21.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:21.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:21.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:21.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:21.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:21.7,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:21.8,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:21.9,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:22.0,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:22.1,0,0,1.7,11.58,26.1,25.3,0.85,302.238,292.974
05:22.2,0,0,1.7,11.58,26,25.3,0.85,301.08,292.974
05:22.3,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:22.4,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:22.5,0,0,1.7,11.55,26,25.3,0.85,300.3,292.215
05:22.6,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:22.7,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:22.8,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:22.9,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:23.0,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:23.1,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:23.2,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:23.3,0,0,1.7,11.58,26,25.3,0.85,301.08,292.974
05:23.4,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:23.5,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:23.6,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:23.7,0,0,1.7,11.58,26,25.3,0.85,301.08,292.974
05:23.8,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:23.9,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:24.0,0,0,1.7,11.57,26,25.3,0.85,300.82,292.721
05:24.1,0,0,1.7,11.57,26,25.4,0.85,300.82,293.878
05:24.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:24.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:24.4,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:24.5,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:24.6,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:24.7,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:24.8,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:24.9,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:25.0,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:25.1,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:25.2,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:25.3,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:25.4,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:25.5,0,0,1.7,11.58,26.1,25.4,0.85,302.238,294.132
05:25.6,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
05:25.7,0,0,1.7,11.59,26.1,25.4,0.85,302.499,294.386
